geometry,EMERGENCIA,AREA_HA,SHAPE_Length,SHAPE_Area_left,RULEID,index_right,DeCodigo,DeNombre,DeArea,DeNorma,SHAPE_Leng,SHAPE_Area_right
POINT (-74.35693237128133 5.8628863298104354),Inundación,186.998487463,0.113020152,0.00015269313,1,14.0,15,['Boyacá'],23057.4616122,Constitución Política de Colombia 1886,1768654.28263,23057461612.2
POINT (-76.63177013834272 5.866175788432433),Inundación,66.6620036594,0.06585560525,5.432659e-05,1,18.0,27,['Chocó'],48428.3157863,Ley No. 13 de 1947,2288206.77192,48428315786.3
POINT (-76.7666796734462 5.868085689645638),Inundación,42.5272757023,0.03064101392,3.465053e-05,1,18.0,27,['Chocó'],48428.3157863,Ley No. 13 de 1947,2288206.77192,48428315786.3
POINT (-71.03997218884865 5.866565776385882),Inundación,40.3622701135,0.03355464862,3.286651e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.46626139126703 5.869299909658679),Inundación,52.4363778498,0.03639367977,4.272975e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-76.38942231974575 5.870905837792085),Inundación,26.5878049191,0.02081544502,2.167583e-05,1,18.0,27,['Chocó'],48428.3157863,Ley No. 13 de 1947,2288206.77192,48428315786.3
POINT (-71.38340625839433 5.868156291794239),Inundación,65.5359867844,0.04112073347,5.339722e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.67700725084045 5.867323078953903),Inundación,105.320487916,0.08151014739,8.585158e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-76.73480209851193 5.8693333346082355),Inundación,33.5582124408,0.04513691653,2.734415e-05,1,18.0,27,['Chocó'],48428.3157863,Ley No. 13 de 1947,2288206.77192,48428315786.3
POINT (-71.53081612756696 5.872564820522083),Inundación,31.5917530743,0.03810682096,2.574647e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.55163961699449 5.87223785173206),Inundación,48.5298602126,0.02895784048,3.955185e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-76.64644935730729 5.868477261488959),Inundación,40.6409564032,0.04677849636,3.311996e-05,1,18.0,27,['Chocó'],48428.3157863,Ley No. 13 de 1947,2288206.77192,48428315786.3
POINT (-70.87145536356603 5.865814618242402),Inundación,65.5282337267,0.04859902301,5.334173e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.66014198982164 5.874641995173382),Inundación,98.3949280075,0.0395625967,8.020529e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.29379735280985 5.871996017483849),Inundación,83.6786249528,0.03821127672,6.816972e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-76.75189037476568 5.869756727924103),Inundación,67.0795071524,0.05834598236,5.465676e-05,1,18.0,27,['Chocó'],48428.3157863,Ley No. 13 de 1947,2288206.77192,48428315786.3
POINT (-76.72346484588334 5.846095696087),Inundación,849.373835682,0.26630768253,0.00069207767,1,18.0,27,['Chocó'],48428.3157863,Ley No. 13 de 1947,2288206.77192,48428315786.3
POINT (-71.31190114862862 5.875562217503057),Inundación,28.8052050559,0.02420261517,2.346735e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.5588256237608 5.877232622118152),Inundación,30.3005182123,0.02177612395,2.469542e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.8137226088649 5.878515314512149),Inundación,27.7843568376,0.02240980851,2.265314e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-76.79306010382271 5.8738451466827915),Inundación,39.9067804402,0.04945573609,3.251431e-05,1,18.0,27,['Chocó'],48428.3157863,Ley No. 13 de 1947,2288206.77192,48428315786.3
POINT (-76.65225589766568 5.872896280425515),Inundación,58.4307346524,0.05005350581,4.761751e-05,1,18.0,27,['Chocó'],48428.3157863,Ley No. 13 de 1947,2288206.77192,48428315786.3
POINT (-71.43953915541879 5.872158161511717),Inundación,366.914161908,0.17891555034,0.00029898253,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-77.26582641597052 5.858395516413749),Inundación,42.0728441313,0.17280567536,3.424915e-05,1,18.0,27,['Chocó'],48428.3157863,Ley No. 13 de 1947,2288206.77192,48428315786.3
POINT (-76.41849112018976 5.892145411977974),Inundación,679.235515557,1.41008338839,0.00055374714,1,18.0,27,['Chocó'],48428.3157863,Ley No. 13 de 1947,2288206.77192,48428315786.3
POINT (-76.65667008058645 5.880414989889189),Inundación,47.4097983479,0.04348871441,3.863636e-05,1,18.0,27,['Chocó'],48428.3157863,Ley No. 13 de 1947,2288206.77192,48428315786.3
POINT (-71.65398798283327 5.882329695143988),Inundación,46.7506025416,0.03803867458,3.810829e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-76.68093883875325 5.878543969152226),Inundación,74.6226553282,0.05557589563,6.081081e-05,1,18.0,27,['Chocó'],48428.3157863,Ley No. 13 de 1947,2288206.77192,48428315786.3
