geometry,EMERGENCIA,AREA_HA,SHAPE_Length,SHAPE_Area_left,RULEID,index_right,DeCodigo,DeNombre,DeArea,DeNorma,SHAPE_Leng,SHAPE_Area_right
POINT (-70.97919151700671 5.918368802062007),Inundación,210.347194218,0.15000633651,0.00017127943,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-76.80376696916686 5.924070774844711),Inundación,38.7224813422,0.02812439572,3.155163e-05,1,18.0,27,['Chocó'],48428.3157863,Ley No. 13 de 1947,2288206.77192,48428315786.3
POINT (-71.64109926455009 5.925074852706702),Inundación,112.643696454,0.04442212435,9.182556e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.54661303182237 5.927618859912071),Inundación,37.7728925309,0.03211710259,3.078769e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-76.63622516366726 5.928111251738059),Inundación,28.61203569,0.02069977527,2.331993e-05,1,18.0,27,['Chocó'],48428.3157863,Ley No. 13 de 1947,2288206.77192,48428315786.3
POINT (-71.51347069672046 5.9256450421028655),Inundación,77.5726250327,0.05788041259,6.322393e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.36684694970663 5.929238017660824),Inundación,77.2076178837,0.04412239013,6.291206e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.08366047183334 5.919569479931914),Inundación,433.399502987,0.22423745356,0.00035297321,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.70313001158841 5.929670998421192),Inundación,96.5602465487,0.04478279245,7.872233e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.16024659001016 5.924083352700216),Inundación,154.578547671,0.09664110975,0.0001259116,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.02508837582302 5.92952132073621),Inundación,32.727123411,0.02517731165,2.665153e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
